City,wholeFoods,wholeFoods_Dummy,ralphs,traderJoes,bristolFarms,Combined_Competitors,Total_population_2021,Total population 2019,Total population 2017,Two_years_population_growth,Four_years_population_growth,Median_age,Households_Median_income_2021,Households Median income 2019,Households Median income 2017,Two_years_income_growth,Four_years_income_growth,unemployment_Rate,Violent_Crime,Crime_Rate,avg_housing_price,avg_apt_price,Area_sq_km,Density_per_sq_km,AADT,Public_Transit,Edu,n_voters,,
Agoura Hills,0,0,1,1,0,2,25737,26334,26028,-2.27,-1.12,44.6,142177,124012,117615,14.65,20.88,5.02,31.5,0.12,1329658,3202,88.2946,291.4900798,857000,1,60.4688,14105,,
Alhambra,0,0,0,0,0,0,83199,84335,85065,-1.35,-2.19,41.45,72916.5,61891.5,57534,17.81,26.74,5.04,336,0.4,919684.5,2071,19.74477,4213.723432,1718900,3,35.5166,40843,,
Altadena,0,0,0,0,0,0,36867,37818,37528,-2.51,-1.76,44.6,114668,101061,91090,13.46,25.88,7.88,433,1.17,1231663,2502,21.4213,1721.044008,628000,3,44.3536,0,,
Arcadia,0,0,1,0,0,1,66188,67074,67557,-1.32,-2.03,43.35,100578,93594,89662,7.46,12.17,5.305,172,0.26,1417522,2425,30.7604,2151.727546,903000,3,54.9285,0,,
Artesia,0,0,0,0,0,0,16390,16801,16912,-2.45,-3.09,38.4,83321,67765,62863,22.96,32.54,8.75,103,0.63,756305,2346,4.22172,3882.303895,514000,2,29.441,0,,
Azusa,0,0,0,0,0,0,61684,62066,61739,-0.62,-0.09,31.5,74175,68852,59104,7.73,25.5,6.1,169,0.27,673304,2076,438.64,140.6255699,1348100,3,24.2041,20401,,
Baldwin Park,0,0,0,0,0,0,73652,76930,77819,-4.26,-5.35,36,72737,65755,57240,10.62,27.07,6.78,145,0.2,646330,2004,34.8007,2116.39421,2605000,3,13.5795,29745,,
Bell,0,0,0,0,0,0,96605,101965,102878,-5.26,-6.1,30.7,49554,44046,39498,12.51,25.46,6.77,155.666667,0.16,622575,1942,15.3754,6283.08857,373000,6,7.4061,12961,,
Bellflower,0,0,0,0,0,0,79070,77195,77852,2.43,1.56,34.7,70236,60011,52944,17.04,32.66,7.8,392,0.5,89705,2064,15.82,4998.103666,1457000,4,18.7581,35547,,
Beverly Hills,1,1,0,0,0,0,39828,40647,41242,-2.01,-3.43,45.36666667,112116.3333,109595.6667,108055.3333,2.3,3.76,7.96,46642.5,117.11,4434552.333,3079.333333,30.51434,1305.222397,434700,1,63.8558,20955,,
Burbank,1,1,3,1,0,4,111462,107461,108337,3.72,2.88,39.4,79716.4,73538.8,66920.4,8.4,19.12,6.624,47207.5,42.35,1174825,2534.4,45.90675,2428.008953,2695000,2,43.2694,66157,,
Calabasas,0,0,1,1,0,2,26241,26712,26500,-1.76,-0.98,44.5,146521,133996,122967,9.35,19.15,9.92,21.5,0.08,2171664,3202,69.1431,379.517262,1047000,0,62.7218,15719,,
Canoga Park,0,0,0,0,0,0,84229,85947,84007,-2,0.26,36.15,70740.5,65877.5,57926.5,7.38,22.12,7.575,61912,73.5,873633.5,2259,29.96347,2811.056263,231500,8,18,0,,
Canyon Country,0,0,0,0,0,0,78426,74745,75980,4.92,3.22,36.15,95597,90064.5,82026,6.14,16.54,6.165,602,0.77,767966.5,2519,153.0575,512.3956683,0,0,16.7,0,,
